Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.7,0.7
3,0.75,0.8
4,0.55,0.6
5,0.6,0.65
6,0.75,0.75
7,0.65,0.7
8,0.65,0.65
9,0.6,0.65
10,0.5,0.55
11,0.5,0.5
12,0.5,0.6
13,0.55,0.6
14,0.65,0.7
15,0.5,0.5
16,0.5,0.5
17,0.6,0.65
18,0.65,0.7
19,0.75,0.75
20,0.5,0.6
21,0.5,0.5
22,0.55,0.7
23,0.6,0.65
24,0.4,0.4
25,0.7,0.7
26,0.75,0.75
27,0.45,0.55
28,0.55,0.6
29,0.45,0.45
30,0.6,0.6
31,0.6,0.6
32,0.65,0.7
33,0.55,0.65
34,0.7,0.7
35,0.5,0.6
36,0.55,0.55
37,0.45,0.55
38,0.65,0.65
39,0.7,0.7
40,0.45,0.45
41,0.3,0.35
42,0.5,0.65
43,0.55,0.55
44,0.6,0.6
45,0.55,0.6
46,0.7,0.8
47,0.7,0.7
48,0.75,0.75
49,0.7,0.75
50,0.5,0.65
