Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.55,0.6
3,0.55,0.6
4,0.5,0.6
5,0.75,0.75
6,0.55,0.55
7,0.45,0.45
8,0.6,0.65
9,0.3,0.3
10,0.6,0.6
11,0.7,0.75
12,0.55,0.55
13,0.6,0.65
14,0.6,0.65
15,0.5,0.5
16,0.7,0.7
17,0.8,0.8
18,0.7,0.7
19,0.65,0.65
20,0.6,0.6
21,0.65,0.7
22,0.5,0.5
23,0.65,0.65
24,0.75,0.8
25,0.6,0.75
26,0.55,0.55
27,0.6,0.65
28,0.55,0.55
29,0.35,0.35
30,0.6,0.65
31,0.6,0.6
32,0.55,0.55
33,0.45,0.5
34,0.5,0.5
35,0.55,0.7
36,0.55,0.55
37,0.7,0.75
38,0.55,0.55
39,0.65,0.65
40,0.5,0.55
41,0.35,0.4
42,0.4,0.4
43,0.65,0.65
44,0.55,0.6
45,0.55,0.6
46,0.5,0.5
47,0.55,0.55
48,0.65,0.65
49,0.6,0.6
50,0.4,0.5
