Iteration,Win Rate,No Lose Rate
1,0.4,0.4
2,0.55,0.55
3,0.5,0.6
4,0.5,0.5
5,0.6,0.6
6,0.5,0.5
7,0.5,0.6
8,0.45,0.45
9,0.6,0.65
10,0.5,0.6
11,0.6,0.6
12,0.45,0.5
13,0.45,0.5
14,0.55,0.6
15,0.6,0.65
16,0.65,0.65
17,0.55,0.55
18,0.65,0.65
19,0.65,0.7
20,0.5,0.55
21,0.55,0.55
22,0.5,0.55
23,0.7,0.7
24,0.65,0.7
25,0.55,0.55
26,0.55,0.55
27,0.65,0.75
28,0.65,0.65
29,0.65,0.65
30,0.55,0.6
31,0.7,0.7
32,0.65,0.65
33,0.6,0.65
34,0.65,0.65
35,0.5,0.55
36,0.2,0.3
37,0.35,0.35
38,0.5,0.5
39,0.45,0.5
40,0.65,0.7
41,0.65,0.75
42,0.55,0.55
43,0.5,0.5
44,0.65,0.7
45,0.75,0.75
46,0.75,0.8
47,0.45,0.5
48,0.6,0.6
49,0.45,0.5
50,0.5,0.6
