Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.6,0.65
3,0.6,0.6
4,0.5,0.5
5,0.75,0.75
6,0.7,0.7
7,0.55,0.55
8,0.7,0.75
9,0.7,0.75
10,0.55,0.6
11,0.6,0.6
12,0.6,0.65
13,0.55,0.65
14,0.65,0.7
15,0.3,0.5
16,0.5,0.6
17,0.55,0.55
18,0.65,0.65
19,0.55,0.65
20,0.5,0.5
21,0.7,0.75
22,0.5,0.5
23,0.6,0.6
24,0.35,0.35
25,0.6,0.65
26,0.55,0.55
27,0.6,0.6
28,0.5,0.5
29,0.65,0.65
30,0.45,0.5
31,0.4,0.45
32,0.6,0.65
33,0.6,0.65
34,0.45,0.5
35,0.6,0.6
36,0.4,0.45
37,0.6,0.6
38,0.5,0.55
39,0.6,0.65
40,0.55,0.6
41,0.65,0.65
42,0.65,0.65
43,0.65,0.75
44,0.55,0.6
45,0.7,0.75
46,0.55,0.65
47,0.55,0.55
48,0.75,0.8
49,0.5,0.55
50,0.5,0.55
