Iteration,Win Rate,No Lose Rate
1,0.5,0.5
2,0.45,0.55
3,0.7,0.7
4,0.65,0.7
5,0.55,0.6
6,0.65,0.65
7,0.65,0.65
8,0.65,0.65
9,0.4,0.4
10,0.5,0.5
11,0.6,0.7
12,0.65,0.65
13,0.7,0.7
14,0.75,0.75
15,0.6,0.65
16,0.6,0.65
17,0.75,0.75
18,0.6,0.65
19,0.4,0.4
20,0.75,0.75
21,0.65,0.7
22,0.7,0.8
23,0.7,0.75
24,0.8,0.85
25,0.65,0.7
26,0.5,0.55
27,0.55,0.55
28,0.45,0.45
29,0.55,0.65
30,0.8,0.8
31,0.5,0.55
32,0.4,0.4
33,0.7,0.7
34,0.6,0.7
35,0.55,0.55
36,0.65,0.65
37,0.6,0.6
38,0.65,0.65
39,0.6,0.7
40,0.6,0.7
41,0.55,0.6
42,0.65,0.65
43,0.6,0.6
44,0.8,0.8
45,0.65,0.65
46,0.65,0.7
47,0.6,0.65
48,0.5,0.55
49,0.55,0.6
50,0.7,0.7
