Iteration,Win Rate,No Lose Rate
1,0.4,0.4
2,0.55,0.55
3,0.4,0.5
4,0.4,0.45
5,0.65,0.65
6,0.5,0.5
7,0.5,0.55
8,0.6,0.6
9,0.65,0.7
10,0.55,0.65
11,0.6,0.6
12,0.6,0.6
13,0.45,0.45
14,0.4,0.5
15,0.5,0.6
16,0.55,0.6
17,0.75,0.75
18,0.6,0.65
19,0.6,0.65
20,0.45,0.5
21,0.3,0.4
22,0.6,0.6
23,0.5,0.5
24,0.75,0.75
25,0.6,0.65
26,0.7,0.7
27,0.6,0.7
28,0.65,0.65
29,0.55,0.55
30,0.5,0.55
31,0.7,0.7
32,0.6,0.65
33,0.6,0.6
34,0.55,0.6
35,0.55,0.6
36,0.2,0.4
37,0.45,0.45
38,0.5,0.5
39,0.75,0.8
40,0.55,0.6
41,0.6,0.65
42,0.65,0.65
43,0.7,0.7
44,0.6,0.6
45,0.65,0.65
46,0.65,0.7
47,0.4,0.4
48,0.65,0.7
49,0.55,0.55
50,0.45,0.6
